Name,ProductId,PriceInRobux,IsForSale
Carrot Seed,3248692171,7,TRUE
Buttercup Seed,3445155701,14,TRUE
Orange Tulip,3265927408,14,TRUE
Common Egg,3276346455,19,TRUE
Daffodil,3265927978,19,TRUE
Trading Ticket,3352931398,19,TRUE
Strawberry Seed,3248695947,21,TRUE
Friendship Pot,3301473650,39,TRUE
Uncommon Egg,3276346509,39,TRUE
Watering Can,3260229242,39,TRUE
100¢,3250137172,49,TRUE
Blueberry Seed,3248690960,49,TRUE
+50 Trade Tokens,3460376533,50,TRUE
+50 Trade Tokens,3460376533,50,TRUE
Recall Wrench,3282918403,59,TRUE
Basic Sprinkler,3265889601,79,TRUE
Level Up Lollipop,3329528135,79,TRUE
Tomato Seed,3248696942,79,TRUE
Rare Egg,3276346557,89,TRUE
250¢,3250137261,99,TRUE
Advanced Sprinkler,3265889751,99,TRUE
Bamboo Seed,3261009117,99,TRUE
Magnifying Glass,3316261725,99,TRUE
1 Mythical Egg,3286560171,119,TRUE
Favorite Tool,3281679093,119,TRUE
Medium Treat,3329527365,119,TRUE
Legendary Egg,3276346676,129,TRUE
Cauliflower Seed,3312007044,135,TRUE
Corn Seed,3248692845,135,TRUE
Cleaning Spray,3306767043,139,TRUE
Pet Cleansing Shard,3379245220,139,TRUE
+1 Exotic Buttercup Chest,3520430329,149,TRUE
+1 Festive Container,3478031738,149,TRUE
+1 Premium Anti Bee Egg,3301567958,149,TRUE
+1 Premium Bird Egg,3512151971,149,TRUE
+1 Premium Carnival Egg,3497475839,149,TRUE
+1 Premium Christmas Egg,3477922698,149,TRUE
+1 Premium Fall Egg,3401426983,149,TRUE
+1 Premium Golden Egg,3568827015,149,TRUE
+1 Premium New Year's Egg,3489363343,149,TRUE
+1 Premium Springtide Egg,3576524674,149,TRUE
+1 Premium Winter Egg,3483801741,149,TRUE
1 Bug Egg,3277000452,149,TRUE
Artisan Container,3460380041,149,TRUE
Elemental Container,3460380235,149,TRUE
Godly Sprinkler,3265889948,149,TRUE
Harvest Tool,3286038236,149,TRUE
Jungle Egg,3414586855,149,TRUE
Medium Toy,3329526686,189,TRUE
Watermelon Seed,3248697546,195,TRUE
+1 Exclusive Cosmetic Crate,3290672626,199,TRUE
+1 Exotic Enchanted Seed Pack,3387753641,199,TRUE
+1 Exotic Fall Seed Pack,3407391662,199,TRUE
+1 Exotic Gem Chest,3460600740,199,TRUE
+1 Exotic Nutty Chest,3420021045,199,TRUE
+1 Exotic Safari Seed Pack,3449810469,199,TRUE
+1 Exotic Spooky Chest,3438653519,199,TRUE
+1 Super Seed,3482199602,199,TRUE
Master Sprinkler,3267580365,199,TRUE
Pumpkin Seed,3248695199,210,TRUE
Rafflesia Seed,3317729900,215,TRUE
Exotic Santa's Surprise Present,3472461585,219,TRUE
Mushroom,3273973729,249,TRUE
+250 Trade Tokens,3460378135,250,TRUE
+250 Trade Tokens,3460378135,250,TRUE
Grandmaster Sprinkler,3354130076,279,TRUE
"1,000¢",3250137355,325,TRUE
Apple Seed,3248716238,375,TRUE
Blacksmith Bundle,3456989527,375,TRUE
Green Apple Seed,3312008833,399,TRUE
Summer Pack,3311112163,399,TRUE
Twilight Pack,3432380384,399,TRUE
Avocado Seed,3312011056,419,TRUE
+3 Artisan Containers,3467103688,429,TRUE
+3 Elemental Containers,3467110142,429,TRUE
+3 Exotic Buttercup Chests,3520430327,429,TRUE
+3 Festive Containers,3478031853,429,TRUE
+3 Premium Anti Bee Egg,3301567955,429,TRUE
+3 Premium Bird Eggs,3512151973,429,TRUE
+3 Premium Carnival Eggs,3497475846,429,TRUE
+3 Premium Christmas Eggs,3477922697,429,TRUE
+3 Premium Fall Eggs,3401426985,429,TRUE
+3 Premium Golden Egg,3568827227,429,TRUE
+3 Premium New Year's Eggs,3489363338,429,TRUE
+3 Premium Springtide Egg,3576524780,429,TRUE
+3 Premium Winter Eggs,3483801745,429,TRUE
Coconut Seed,3248744789,435,TRUE
Banana Seed,3269001250,459,TRUE
Eggplant,3273006109,459,TRUE
Pineapple Seed,3312005774,475,TRUE
Cactus Seed,3260940714,497,TRUE
Kiwi Seed,3312011732,529,TRUE
+3 Exclusive Cosmetic Crates,3290672712,575,TRUE
+3 Exotic Ancient Seed Packs,3323657547,575,TRUE
+3 Exotic Fall Seed Packs,3407391663,575,TRUE
+3 Exotic Gem Chests,3460600737,575,TRUE
+3 Exotic Nutty Chests,3420021043,575,TRUE
+3 Exotic Safari Seed Packs,3449810472,575,TRUE
+3 Exotic Spooky Chests,3438653518,575,TRUE
+3 Super Seed,3482199918,575,TRUE
3 Bug Eggs,3277814538,575,TRUE
Mango Seed,3259333414,580,TRUE
Bell Pepper Seed,3312012483,589,TRUE
Dragon Fruit Seed,3253012192,597,TRUE
Grape Seed,3261068725,599,TRUE
Prickly Pear Seed,3312013208,599,TRUE
+3 Exotic Santa's Surprise Present,3472461575,625,TRUE
Loquat Seed,3312014286,629,TRUE
Pepper,3277675404,629,TRUE
Cacao Seed,3282870834,679,TRUE
Feijoa Seed,3312013874,679,TRUE
Sunflower Seed,3455804869,699,TRUE
Beanstalk Seed,3284390402,715,TRUE
Pitcher Plant Seed,3317730202,715,TRUE
Season Pass,3411693833,749,TRUE
Broccoli Seed,3388363071,768,TRUE
Ember Lily Seed,3300984139,779,TRUE
Beast Buttercup,3519865801,799,TRUE
Sugar Apple Seed,3304968889,819,TRUE
Potato Seed,3388363390,839,TRUE
"5,000¢",3250139018,895,TRUE
Brussels Sprout Seed,3388360759,897,TRUE
Burning Bud,3316826714,915,TRUE
Giant Pinecone Seed,3330562080,929,TRUE
Cocomango Seed,3388359799,939,TRUE
Elder Strawberry Seed,3345148119,957,TRUE
Romanesco Seed,3372004188,987,TRUE
+1000 Trade Tokens,3460378800,1000,TRUE
+1000 Trade Tokens,3460378800,1000,TRUE
Crimson Thorn Seed,3414035789,1149,TRUE
Great Pumpkin Seed,3426542757,1199,TRUE
Trinity Fruit Seed,3445164189,1199,TRUE
+10 Artisan Containers,3467103687,1249,TRUE
+10 Elemental Containers,3467110145,1249,TRUE
+10 Exotic Buttercup Chests,3520430328,1249,TRUE
+10 Festive Containers,3478031941,1249,TRUE
+10 Premium Bird Eggs,3512151976,1249,TRUE
+10 Premium Carnival Eggs,3497475844,1249,TRUE
+10 Premium Christmas Eggs,3477922700,1249,TRUE
+10 Premium Fall Eggs,3401426984,1249,TRUE
+10 Premium Golden Egg,3568827595,1249,TRUE
+10 Premium New Year's Eggs,3489363342,1249,TRUE
+10 Premium Springtide Egg,3576524860,1249,TRUE
+10 Premium Winter Eggs,3483801744,1249,TRUE
Firework Fern,3490207231,1299,TRUE
Firework Fern,3490207231,1299,TRUE
Zebrazinkle Seed,3445262332,1320,TRUE
Octobloom Seed,3461239818,1487,TRUE
+9 SUPER SEED,3249981764,1599,TRUE
Eggsnapper Seed,3568823262,1599,TRUE
Peppermint Vine,3471911127,1627,TRUE
+10 Exclusive Cosmetic Crates,3290672848,1699,TRUE
+10 Exotic Easter Seed Pack,3563674024,1699,TRUE
+10 Exotic Fall Seed Packs,3407391666,1699,TRUE
+10 Exotic Flower Seed Pack,3295548781,1699,TRUE
+10 Exotic Gem Chests,3460600736,1699,TRUE
+10 Exotic Nutty Chests,3420021044,1699,TRUE
+10 Exotic Safari Seed Packs,3449810471,1699,TRUE
+10 Exotic Spooky Chests,3438653517,1699,TRUE
+10 Super Seed,3482200241,1699,TRUE
10 Bug Eggs,3277814625,1699,TRUE
Reindeer Root Seed,3482980939,1699,TRUE
Alien Apple Seed,3546475721,1700,TRUE
Bonanza Bloom Seed,3498980651,1799,TRUE
+10 Exotic Santa's Surprise Present,3472461579,1899,TRUE
Spirit Sparkle Seed,3482982251,1999,TRUE
Rainbow Peppermint Vine Seed,3482271454,4499,TRUE
+50 Exotic Buttercup Chests,3520430331,4999,TRUE
+50 Premium Bird Eggs,3512151977,4999,TRUE
+50 Premium Carnival Eggs,3497475843,4999,TRUE
+50 Premium Christmas Egg,3478043835,4999,TRUE
+50 Premium Golden Egg,3570157250,4999,TRUE
+50 Premium New Year's Eggs,3489363344,4999,TRUE
+50 Premium Springtide Egg,3576525035,4999,TRUE
+50 Premium Winter Eggs,3483801743,4999,TRUE
+5000 Trade Tokens,3460379424,5000,TRUE
+5000 Trade Tokens,3460379424,5000,TRUE
+50 Exotic Easter Seed Pack,3570335691,6999,TRUE
+50 Exotic Santa's Surprise Present,3472461584,7450,TRUE
+1 Iconic Gnome Crate,3300962946,8000,TRUE
+10 Iconic Gnome Crate,3300962952,8000,TRUE
+3 Iconic Gnome Crate,3300962950,8000,TRUE
+25000 Trade Tokens,3460379831,25000,TRUE
+25000 Trade Tokens,3460379831,25000,TRUE
Purple Cabbage,3273005969,40900,TRUE
+1 Exotic Corrupt Chest,3345819463,99999,TRUE
+1 Premium Oasis Egg,3317459182,99999,TRUE
+1 Premium Primal Egg,3330286154,99999,TRUE
+3 Premium Oasis Egg,3317459186,99999,TRUE
+3 Premium Primal Egg,3330286155,99999,TRUE
Exotic Bug Egg,3278426597,99999,TRUE
+1 Premium Spooky Egg,3427163857,999999,TRUE
+1 Premium Safari Egg,3444449487,9999999,TRUE
+10 Premium Safari Eggs,3444449486,9999999,TRUE
+10 Premium Spooky Eggs,3427163853,9999999,TRUE
+3 Premium Safari Eggs,3444449485,9999999,TRUE
+1 Sprout Basket,3379593726,99999999,TRUE
+1 Exotic Ancient Seed Pack,3323657553,999999999,TRUE
+1 Exotic Crafters Seed Pack,3306352279,999999999,TRUE
+1 Exotic Culinarian Chest,3362680911,999999999,TRUE
+1 Exotic Enchanted Chest,3394224231,999999999,TRUE
+1 Exotic Flower Seed Pack,3295548770,999999999,TRUE
+1 Exotic Gourmet Seed Pack,3354839803,999999999,TRUE
+1 Exotic Skyroot Chest,3379038157,999999999,TRUE
+1 Exotic Sprout Seed Pack,3371226353,999999999,TRUE
+1 Exotic Summer Seed Pack,3311388942,999999999,TRUE
+1 Exotic Zen Seed Pack,3338826792,999999999,TRUE
+10 Exotic Ancient Seed Packs,3323657552,999999999,TRUE
+10 Exotic Corrupt Chests,3345819472,999999999,TRUE
+10 Exotic Crafters Seed Pack,3306352284,999999999,TRUE
+10 Exotic Culinarian Chests,3362680916,999999999,TRUE
+10 Exotic Enchanted Chests,3394224237,999999999,TRUE
+10 Exotic Enchanted Seed Pack,3387753638,999999999,TRUE
+10 Exotic Gourmet Seed Packs,3354839817,999999999,TRUE
+10 Exotic Skyroot Chests,3379038159,999999999,TRUE
+10 Exotic Sprout Seed Packs,3371226363,999999999,TRUE
+10 Exotic Summer Seed Pack,3311388948,999999999,TRUE
+10 Exotic Zen Seed Pack,3338826790,999999999,TRUE
+10 Premium Anti Bee Egg,3301567960,999999999,TRUE
+10 Premium Oasis Egg,3317459188,999999999,TRUE
+10 Premium Primal Egg,3330286148,999999999,TRUE
+3 Exotic Corrupt Chests,3345819470,999999999,TRUE
+3 Exotic Crafters Seed Pack,3306352283,999999999,TRUE
+3 Exotic Culinarian Chests,3362680917,999999999,TRUE
+3 Exotic Enchanted Chests,3394224239,999999999,TRUE
+3 Exotic Enchanted Seed Pack,3387753634,999999999,TRUE
+3 Exotic Flower Seed Pack,3295548782,999999999,TRUE
+3 Exotic Gourmet Seed Packs,3354839826,999999999,TRUE
+3 Exotic Skyroot Chests,3379038152,999999999,TRUE
+3 Exotic Sprout Seed Packs,3371226360,999999999,TRUE
+3 Exotic Summer Seed Pack,3311388951,999999999,TRUE
+3 Exotic Zen Seed Pack,3338826791,999999999,TRUE
+3 Premium Spooky Eggs,3427163854,999999999,TRUE
10 Premium Night Eggs,3282157312,999999999,TRUE
10 Premium Night Seed Packs,3282157462,999999999,TRUE
10 Premium Seed Packs,3273679012,999999999,TRUE
Open 1 - Exotic Seed Pack,3267528421,999999999,TRUE
Open 10 - Exotic Seed Pack,3267548161,999999999,TRUE
Open 3 - Exotic Seed Pack,3267548052,999999999,TRUE
